-0.76024 -37.8194 -36.5595 -37.4622 -41.3962 -59.075 -42.795 -36.6957 -34.3608 -34.2489 -36.5753 -44.3989 -45.3107 -35.3478 -31.6505 -30.4567 -31.4208 -35.8256 -60.2652 -33.1971 -27.4236 -24.7343 -24.0258 -25.6947 -34.4794 -26.5716 -14.7669 -2.58119
-0.758668 -38.0751 -36.5496 -37.1852 -40.6355 -53.6576 -43.9819 -37.0938 -34.4495 -34.087 -36.0657 -42.7408 -47.8317 -35.944 -31.8441 -30.3939 -31.0737 -34.8828 -57.6243 -34.1192 -27.7354 -24.7574 -23.789 -25.0541 -32.0032 -28.1952 -15.1473 -2.34422
-0.757096 -38.3689 -36.5684 -36.9438 -39.9604 -50.3567 -45.3959 -37.5427 -34.5685 -33.9557 -35.6096 -41.3682 -51.4604 -36.6181 -32.0725 -30.3597 -30.7659 -34.0538 -48.8532 -35.1907 -28.0912 -24.8097 -23.5843 -24.478 -30.0774 -30.2736 -15.5885 -2.12028
-0.755523 -38.7039 -36.6162 -36.7362 -39.3587 -47.9853 -47.1273 -38.0482 -34.7188 -33.8543 -35.202 -40.2038 -57.9103 -37.3837 -32.3378 -30.3542 -30.4949 -33.3194 -44.5761 -36.4552 -28.4951 -24.8917 -23.4107 -23.959 -28.5057 -33.1141 -16.0994 -1.90898
-0.753951 -39.0835 -36.6934 -36.561 -38.8213 -46.142 -49.3376 -38.6177 -34.9017 -33.7821 -34.8388 -39.1988 -77.1312 -38.2592 -32.6426 -30.3776 -30.2587 -32.6653 -41.7289 -37.9808 -28.9522 -25.0045 -23.2673 -23.4912 -27.1826 -37.5185 -16.6917 -1.70999
-0.752378 -39.5119 -36.8007 -36.4171 -38.3409 -44.6418 -52.3631 -39.2606 -35.1188 -33.7391 -34.5167 -38.3207 -56.1606 -39.2699 -32.9901 -30.4302 -30.0558 -32.0808 -39.5993 -39.8823 -29.4691 -25.1491 -23.1534 -23.07 -26.0447 -47.3303 -17.381 -1.52299
-0.750806 -39.9947 -36.9392 -36.3037 -37.9118 -43.3839 -57.1168 -39.9889 -35.3721 -33.7249 -34.2329 -37.5467 -50.5347 -40.4527 -33.3841 -30.5126 -29.885 -31.5574 -37.9046 -42.3778 -30.0539 -25.327 -23.0687 -22.6916 -25.0509 -46.1945 -18.1882 -1.3477
-0.749234 -40.5384 -37.1099 -36.2201 -37.5293 -42.3075 -68.6342 -40.8189 -35.6641 -33.7399 -33.9852 -36.86 -47.1561 -41.8632 -33.8294 -30.6257 -29.7451 -31.0886 -36.504 -45.9661 -30.7172 -25.54 -23.013 -22.353 -24.1734 -36.911 -19.1433 -1.18389
-0.747661 -41.1516 -37.3145 -36.166 -37.1898 -41.373 -63.6309 -41.7727 -35.9976 -33.7842 -33.7719 -36.2483 -44.7429 -43.5918 -34.332 -30.7705 -29.6355 -30.6691 -35.3167 -52.3111 -31.4728 -25.7902 -22.9862 -22.0516 -23.3921 -32.4746 -20.2899 -1.03132
-0.746089 -41.8451 -37.5546 -36.1412 -36.8902 -40.5532 -55.4518 -42.8815 -36.3762 -33.8584 -33.5914 -35.702 -42.8726 -45.801 -34.8992 -30.9483 -29.5557 -30.2947 -34.2923 -73.5494 -32.3392 -26.0803 -22.9885 -21.7854 -22.6922 -29.5223 -21.6967 -0.889796
-0.744517 -42.6334 -37.8327 -36.1457 -36.628 -39.8286 -51.3219 -44.1919 -36.8045 -33.9631 -33.4428 -35.2137 -41.3531 -48.8287 -35.5406 -31.1608 -29.5054 -29.962 -33.3971 -50.87 -33.3423 -26.4136 -23.0204 -21.5527 -22.0626 -27.3056 -23.4798 -0.759143
-0.742944 -43.5357 -38.1513 -36.1797 -36.4013 -39.1849 -48.5473 -45.7771 -37.2877 -34.0994 -33.3251 -34.7775 -40.0805 -53.5948 -36.2686 -31.41 -29.4844 -29.6682 -32.6077 -45.1614 -34.5193 -26.7939 -23.0823 -21.3524 -21.4949 -25.5319 -25.8597 -0.639203
-0.741372 -44.5794 -38.5139 -36.2435 -36.2085 -38.6113 -46.4644 -47.7624 -37.8327 -34.2685 -33.2376 -34.3886 -38.9922 -65.2203 -37.0996 -31.6983 -29.4928 -29.411 -31.9071 -41.7469 -35.9271 -27.2262 -23.1752 -21.1833 -20.9821 -24.0561 -29.3436 -0.529841
-0.739799 -45.8037 -38.9244 -36.338 -36.0483 -38.0993 -44.8047 -50.3912 -38.4481 -34.4718 -33.1801 -34.0433 -38.0478 -59.9749 -38.0562 -32.0288 -29.531 -29.1887 -31.2824 -39.3102 -37.6581 -27.7164 -23.3001 -21.0446 -20.5189 -22.7957 -35.6413 -0.430938
-0.738227 -47.2693 -39.388 -36.4639 -35.9196 -37.6423 -43.4326 -54.2423 -39.1452 -34.7113 -33.1522 -33.7385 -37.2195 -51.8431 -39.1706 -32.4051 -29.5995 -28.9997 -30.7239 -37.4217 -39.8791 -28.2722 -23.4584 -20.9359 -20.101 -21.6992 -54.848 -0.342393
